Food_Code,Food_Desc,Nivel_Gordura,Nivel_Acucar,Nivel_Sodio,Nota
72201100,"Broccoli, raw",0.05666666666666667,0.09333333333333332,0.06,0.06999999999999999
75109550,"Cilantro, raw",0.08666666666666667,0.058,0.07666666666666666,0.07377777777777778
75100750,"Artichoke, Jerusalem, raw",0.05666666666666667,0.066,0.1,0.07422222222222223
75119000,"Parsley, raw",0.13166666666666668,0.056666666666666664,0.09333333333333334,0.0938888888888889
72122211,"Mustard greens, cooked, from fresh, fat not added in cooking",0.075,0.09466666666666666,0.24333333333333335,0.1376666666666667
75201011,"Artichoke, globe (French), cooked, from fresh, fat not added in cooking",0.05666666666666667,0.066,0.29333333333333333,0.1386666666666667
75201013,"Artichoke, globe (French), cooked, from canned, fat not added in cooking",0.05666666666666667,0.066,0.29333333333333333,0.1386666666666667
72201211,"Broccoli, cooked, from fresh, fat not added in cooking",0.05833333333333333,0.09666666666666666,0.2633333333333333,0.13944444444444445
75209012,"Brussels sprouts, cooked, from frozen, fat not added in cooking",0.065,0.13799999999999998,0.21833333333333332,0.14044444444444446
41420380,Soy yogurt,0.3,0.08266666666666667,0.058333333333333334,0.147
